Var1_3kPZS,Var2_3kPZS.3sPZS
0.034,0.005
0.049,-0.094
0.055,0.171
0.117,-0.182
-0.154,-0.191
0.199,-0.236
0.238,-0.250
0.261,-0.251
0.310,-0.351
0.450,-0.469
0.504,-0.478
0.516,-0.534
0.527,-0.565
0.534,-0.600
0.562,-0.658
0.567,-0.675
0.701,-0.709
0.734,-0.714
0.773,-0.731
0.906,-0.785
0.923,-0.816
0.964,-0.946
