Var1_ae,Var2_ac
0.625,0.508
0.436,0.562
0.329,0.482
0.382,0.559
0.493,0.268
0.166,0.442
0.244,0.548
0.000,0.328
0.560,0.978
0.888,0.452
0.398,0.916
0.539,0.000
0.171,0.755
0.000,0.679
0.000,0.691
0.000,0.771
0.000,0.900
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
