Var1_ae,Var2_ac
0.578,0.545
0.906,0.857
0.636,0.581
0.894,0.777
0.646,0.800
0.199,0.000
0.581,0.343
0.889,0.628
0.310,0.000
0.450,0.000
0.762,0.258
0.516,0.000
0.657,0.130
0.888,0.354
0.562,0.000
0.567,0.000
0.852,0.152
0.763,0.030
0.883,0.111
0.906,0.000
0.923,0.000
0.964,0.000
,
