Var1_ae,Var2_ac
0.214,0.243
0.478,0.513
0.583,0.494
0.724,0.580
0.502,0.344
0.257,0.506
0.311,0.607
0.445,0.756
0.437,0.861
0.915,0.473
0.600,0.000
0.211,0.869
0.200,0.918
0.847,0.000
0.000,0.879
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
