Var1_ae,Var2_ac
0.155,0.167
0.656,0.641
0.566,0.537
0.532,0.574
0.000,0.086
0.519,0.613
0.000,0.096
0.420,0.324
0.225,0.111
0.248,0.431
0.192,0.398
0.363,0.573
0.227,0.462
0.508,0.238
0.464,0.777
0.326,0.669
0.144,0.488
0.000,0.355
0.222,0.609
0.000,0.401
0.326,0.759
0.372,0.808
0.031,0.496
0.000,0.492
0.000,0.559
0.034,0.598
0.183,0.756
0.000,0.584
0.201,0.793
0.223,0.882
0.000,0.728
0.000,0.738
0.000,0.810
0.099,0.967
0.000,0.923
