Var1_ae,Var2_ac
0.017,0.000
0.628,0.395
0.910,0.601
0.375,0.000
0.868,0.442
0.466,0.000
0.783,0.302
0.736,0.129
0.778,0.101
0.724,0.000
0.823,0.082
0.890,0.137
0.754,0.000
0.926,0.164
0.779,0.000
0.932,0.139
0.940,0.122
0.929,0.000
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
